group,filter,week,unique_users,new_users,cumulative_users
VPN,Unmatched (non-UK),2025-06-03,3233,1098,203943
VPN,Unmatched (non-UK),2025-06-10,2838,986,204929
VPN,Unmatched (non-UK),2025-06-17,3466,1210,206139
VPN,Unmatched (non-UK),2025-06-24,4017,1473,207612
VPN,Unmatched (non-UK),2025-07-01,3384,1266,208878
VPN,Unmatched (non-UK),2025-07-08,3412,1156,210034
VPN,Unmatched (non-UK),2025-07-15,3297,1167,211201
VPN,Unmatched (non-UK),2025-07-22,4419,1826,213027
VPN,Unmatched (non-UK),2025-07-29,5096,1932,214959
VPN,Unmatched (non-UK),2025-08-05,5240,2058,217017
VPN,Unmatched (non-UK),2025-08-12,4609,1796,218813
VPN,Unmatched (non-UK),2025-08-19,4763,1726,220539
VPN,Unmatched (non-UK),2025-08-26,5035,1944,222483
VPN,Unmatched (non-UK),2025-09-02,4793,1679,224162
VPN,Unmatched (non-UK),2025-09-09,4997,1830,225992
VPN,Unmatched (non-UK),2025-09-16,5350,2046,228038
VPN,Unmatched (non-UK),2025-09-23,4541,1625,229663
VPN,Unmatched (non-UK),2025-09-30,5059,1781,231444
VPN,Unmatched (non-UK),2025-10-07,4385,1498,232942
VPN,Unmatched (non-UK),2025-10-14,4279,1370,234312
VPN,Unmatched (non-UK),2025-10-21,3291,1079,235391
VPN,Unmatched,2021-10-26,2564,2564,2564
VPN,Unmatched,2021-11-02,3002,2293,4857
VPN,Unmatched,2021-11-09,2953,1968,6825
VPN,Unmatched,2021-11-16,2533,1522,8347
VPN,Unmatched,2021-11-23,2846,1659,10006
VPN,Unmatched,2021-11-30,2680,1465,11471
VPN,Unmatched,2021-12-07,2618,1369,12840
VPN,Unmatched,2021-12-14,2685,1360,14200
VPN,Unmatched,2021-12-21,3007,1580,15780
VPN,Unmatched,2021-12-28,3090,1538,17318
VPN,Unmatched,2022-01-04,3313,1647,18965
VPN,Unmatched,2022-01-11,2923,1396,20361
VPN,Unmatched,2022-01-18,3079,1416,21777
VPN,Unmatched,2022-01-25,3052,1401,23178
VPN,Unmatched,2022-02-01,2839,1292,24470
VPN,Unmatched,2022-02-08,3285,1460,25930
VPN,Unmatched,2022-02-15,2898,1195,27125
VPN,Unmatched,2022-02-22,2757,1167,28292
VPN,Unmatched,2022-03-01,2724,1114,29406
VPN,Unmatched,2022-03-08,3183,1390,30796
VPN,Unmatched,2022-03-15,2847,1141,31937
VPN,Unmatched,2022-03-22,2594,977,32914
VPN,Unmatched,2022-03-29,2562,1002,33916
VPN,Unmatched,2022-04-05,2754,1098,35014
VPN,Unmatched,2022-04-12,2901,1145,36159
VPN,Unmatched,2022-04-19,2871,1136,37295
VPN,Unmatched,2022-04-26,2791,1071,38366
VPN,Unmatched,2022-05-03,2624,996,39362
VPN,Unmatched,2022-05-10,2701,1004,40366
VPN,Unmatched,2022-05-17,2712,968,41334
VPN,Unmatched,2022-05-24,3228,1211,42545
VPN,Unmatched,2022-05-31,3117,1160,43705
VPN,Unmatched,2022-06-07,2826,1001,44706
VPN,Unmatched,2022-06-14,2535,848,45554
VPN,Unmatched,2022-06-21,2829,1011,46565
VPN,Unmatched,2022-06-28,2688,945,47510
VPN,Unmatched,2022-07-05,2598,889,48399
VPN,Unmatched,2022-07-12,2832,1031,49430
VPN,Unmatched,2022-07-19,2614,940,50370
VPN,Unmatched,2022-07-26,2775,989,51359
VPN,Unmatched,2022-08-02,2619,920,52279
VPN,Unmatched,2022-08-09,2770,992,53271
VPN,Unmatched,2022-08-16,2768,948,54219
VPN,Unmatched,2022-08-23,2995,1090,55309
VPN,Unmatched,2022-08-30,3086,1098,56407
VPN,Unmatched,2022-09-06,3201,1106,57513
VPN,Unmatched,2022-09-13,2876,1016,58529
VPN,Unmatched,2022-09-20,2828,989,59518
VPN,Unmatched,2022-09-27,2771,949,60467
VPN,Unmatched,2022-10-04,2799,937,61404
VPN,Unmatched,2022-10-11,3023,1003,62407
VPN,Unmatched,2022-10-18,3133,1075,63482
VPN,Unmatched,2022-10-25,3068,1031,64513
VPN,Unmatched,2022-11-01,3138,1099,65612
VPN,Unmatched,2022-11-08,2960,1006,66618
VPN,Unmatched,2022-11-15,2829,947,67565
VPN,Unmatched,2022-11-22,3139,1067,68632
VPN,Unmatched,2022-11-29,2867,944,69576
VPN,Unmatched,2022-12-06,2799,1004,70580
VPN,Unmatched,2022-12-13,3082,1138,71718
VPN,Unmatched,2022-12-20,3393,1400,73118
VPN,Unmatched,2022-12-27,3267,1136,74254
VPN,Unmatched,2023-01-03,2976,1029,75283
VPN,Unmatched,2023-01-10,2629,848,76131
VPN,Unmatched,2023-01-17,3057,1063,77194
VPN,Unmatched,2023-01-24,3327,1124,78318
VPN,Unmatched,2023-01-31,2743,940,79258
VPN,Unmatched,2023-02-07,2988,989,80247
VPN,Unmatched,2023-02-14,2986,1066,81313
VPN,Unmatched,2023-02-21,2987,1021,82334
VPN,Unmatched,2023-02-28,2848,931,83265
VPN,Unmatched,2023-03-07,2703,865,84130
VPN,Unmatched,2023-03-14,2665,896,85026
VPN,Unmatched,2023-03-21,2752,883,85909
VPN,Unmatched,2023-03-28,3097,1144,87053
VPN,Unmatched,2023-04-04,2638,830,87883
VPN,Unmatched,2023-04-11,2705,936,88819
VPN,Unmatched,2023-04-18,3103,1011,89830
VPN,Unmatched,2023-04-25,2832,979,90809
VPN,Unmatched,2023-05-02,2745,944,91753
VPN,Unmatched,2023-05-09,2735,938,92691
VPN,Unmatched,2023-05-16,2589,811,93502
VPN,Unmatched,2023-05-23,2656,907,94409
VPN,Unmatched,2023-05-30,3161,1083,95492
VPN,Unmatched,2023-06-06,2965,1057,96549
VPN,Unmatched,2023-06-13,2713,1047,97596
VPN,Unmatched,2023-06-20,2238,824,98420
VPN,Unmatched,2023-06-27,2519,974,99394
VPN,Unmatched,2023-07-04,2423,918,100312
VPN,Unmatched,2023-07-11,2454,934,101246
VPN,Unmatched,2023-07-18,2303,859,102105
VPN,Unmatched,2023-07-25,2218,837,102942
VPN,Unmatched,2023-08-01,2133,832,103774
VPN,Unmatched,2023-08-08,2358,900,104674
VPN,Unmatched,2023-08-15,2395,981,105655
VPN,Unmatched,2023-08-22,2382,921,106576
VPN,Unmatched,2023-08-29,2488,999,107575
VPN,Unmatched,2023-09-05,2609,989,108564
VPN,Unmatched,2023-09-12,2342,881,109445
VPN,Unmatched,2023-09-19,2428,887,110332
VPN,Unmatched,2023-09-26,2288,850,111182
VPN,Unmatched,2023-10-03,1440,529,111711
VPN,Unmatched,2023-10-10,1457,591,112302
VPN,Unmatched,2023-10-17,1622,630,112932
VPN,Unmatched,2023-10-24,1535,586,113518
VPN,Unmatched,2023-10-31,2351,915,114433
VPN,Unmatched,2023-11-07,2502,923,115356
VPN,Unmatched,2023-11-14,2587,927,116283
VPN,Unmatched,2023-11-21,2710,1017,117300
VPN,Unmatched,2023-11-28,2690,968,118268
VPN,Unmatched,2023-12-05,2858,931,119199
VPN,Unmatched,2023-12-12,2629,910,120109
VPN,Unmatched,2023-12-19,2754,960,121069
VPN,Unmatched,2023-12-26,2684,967,122036
VPN,Unmatched,2024-01-02,3000,1142,123178
VPN,Unmatched,2024-01-09,2876,1054,124232
VPN,Unmatched,2024-01-16,2900,1092,125324
VPN,Unmatched,2024-01-23,3223,1236,126560
VPN,Unmatched,2024-01-30,3353,1260,127820
VPN,Unmatched,2024-02-06,3343,1367,129187
VPN,Unmatched,2024-02-13,3295,1251,130438
VPN,Unmatched,2024-02-20,3400,1240,131678
